first_choice,finalist_choice,weighted_n,resp_n,ratio,model_n
Rocky De La Fuente,Joe Biden,1.5619577439999999,2,1.1888551136406007,1.856941451244936
Rocky De La Fuente,Donald Trump,1.8026238220000002,2,1.1888551136406007,2.143058548755064
Howie Hawkins,Exhaust,2.942527637,3,1.0327763556676866,3.0389729693923093
Howie Hawkins,Joe Biden,4.803583083,5,1.0327763556676866,4.96102703060769
Jo Jorgensen,Exhaust,2.464198228,2,1.1204894910182828,2.7611082182598743
Jo Jorgensen,Joe Biden,0.747894547,1,1.1204894910182828,0.8380079803033792
Jo Jorgensen,Donald Trump,7.4975123539999995,9,1.1204894910182828,8.400883801436747
Rocky De La Fuente,Exhaust,NA,NA,NA,0
Howie Hawkins,Donald Trump,NA,NA,NA,0
